"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.0946314660444462,0.582840236686391,0.304526748971193
"Eligibility",0.073697585768742,0.625,0.111111111111111
"Recruitment",-0.173913043478261,0.425,0.259259259259259
"Setting",0.0211480362537764,0.55,0.259259259259259
"Organization",-0.020472440944882,0.558823529411765,0.37037037037037
"Flex. delivery",0.346585998271392,0.6,0.351851851851852
"Flex. adherence",0.253886010362694,0.529411764705882,0.37037037037037
"Follow-up",0.0649350649350647,0.709677419354839,0.425925925925926
"Outcome",-0.0614250614250613,0.69047619047619,0.222222222222222
"Analysis",0.211038961038961,0.558823529411765,0.37037037037037
