"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.701290719114935,0.561187371859658,0.82811377290228,0.867132867132867,0.80690280913074,0.918514677993831,0.705761316872428,0.660493827160494,0.748971193415638
"Eligibility",0.325,NA,NA,0.8,NA,NA,0.722222222222222,NA,NA
"Recruitment",0.595,NA,NA,0.75,NA,NA,0.777777777777778,NA,NA
"Setting",0.234042553191489,NA,NA,0.916666666666667,NA,NA,0.777777777777778,NA,NA
"Organization",0.704918032786885,NA,NA,0.9,NA,NA,0.814814814814815,NA,NA
"Flex. delivery",0.656779661016949,NA,NA,0.823529411764706,NA,NA,0.685185185185185,NA,NA
"Flex. adherence",0.6,NA,NA,0.8,NA,NA,0.62962962962963,NA,NA
"Follow-up",1,NA,NA,1,NA,NA,0.666666666666667,NA,NA
"Outcome",0.664596273291925,NA,NA,0.91304347826087,NA,NA,0.574074074074074,NA,NA
"Analysis",0.799256505576208,NA,NA,0.875,NA,NA,0.703703703703704,NA,NA
