"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.955418312495922,0.929809666843264,0.975832814464303,0.975539568345324,0.961922271062929,0.986802037805917,0.334928229665072,0.308133971291866,0.361722488038278
"A1",1,NA,NA,1,NA,NA,0.589473684210526,NA,NA
"A2",0.939567430025445,NA,NA,0.970149253731343,NA,NA,0.294736842105263,NA,NA
"A3",0.969802924348379,NA,NA,0.984615384615385,NA,NA,0.315789473684211,NA,NA
"A4",1,NA,NA,1,NA,NA,0.2,NA,NA
"A5",0.87467018469657,NA,NA,0.986666666666667,NA,NA,0.210526315789474,NA,NA
"A6",1,NA,NA,1,NA,NA,0.2,NA,NA
"A7",0.976255936015996,NA,NA,0.987951807228916,NA,NA,0.126315789473684,NA,NA
"A8",0.921681780708986,NA,NA,0.96078431372549,NA,NA,0.463157894736842,NA,NA
"A9",0.91637323943662,NA,NA,0.956521739130435,NA,NA,0.273684210526316,NA,NA
"A10",0.726337448559671,NA,NA,0.8,NA,NA,0.631578947368421,NA,NA
"A11",1,NA,NA,1,NA,NA,0.378947368421053,NA,NA
