"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.62505962326873,0.565994279412773,0.683160284618253,0.763636363636364,0.723617072968973,0.803129407660077,0.642857142857143,0.616883116883117,0.667187171208762
"A1",0.0808510638297871,NA,NA,0.228571428571429,NA,NA,0.6875,NA,NA
"A2",0.670103092783505,NA,NA,0.828571428571429,NA,NA,0.6875,NA,NA
"A3",0.147540983606557,NA,NA,0.535714285714286,NA,NA,0.25,NA,NA
"A4",0.571428571428571,NA,NA,0.9,NA,NA,0.732142857142857,NA,NA
"A5",0.432192648922687,NA,NA,0.84,NA,NA,0.776785714285714,NA,NA
"A6",0.707317073170732,NA,NA,0.963414634146341,NA,NA,0.267857142857143,NA,NA
"A7",0.960227272727273,NA,NA,0.979166666666667,NA,NA,0.571428571428571,NA,NA
"A8",0.0303030303030302,NA,NA,0.0909090909090909,NA,NA,0.901785714285714,NA,NA
"A9",0.796733212341198,NA,NA,0.894736842105263,NA,NA,0.491071428571429,NA,NA
"A10",0.628524046434494,NA,NA,0.777777777777778,NA,NA,0.839285714285714,NA,NA
"A11",-0.866666666666667,NA,NA,0.933333333333333,NA,NA,0.866071428571429,NA,NA
