"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.271263024244745,0.230140935148313,0.312526357316184,0.523538961038961,0.491883116883117,0.556006493506494,0,0,0
"A1",0.0104854368932039,NA,NA,0.1875,NA,NA,0,NA,NA
"A2",0.315840621963071,NA,NA,0.607142857142857,NA,NA,0,NA,NA
"A3",0.0903721204961606,NA,NA,0.508928571428571,NA,NA,0,NA,NA
"A4",0.0288153681963712,NA,NA,0.419642857142857,NA,NA,0,NA,NA
"A5",0.0343526875926176,NA,NA,0.428571428571429,NA,NA,0,NA,NA
"A6",0.339016393442623,NA,NA,0.839285714285714,NA,NA,0,NA,NA
"A7",0.506397497867501,NA,NA,0.723214285714286,NA,NA,0,NA,NA
"A8",0.195691202872531,NA,NA,0.5,NA,NA,0,NA,NA
"A9",0.391652372784448,NA,NA,0.660714285714286,NA,NA,0,NA,NA
"A10",0.404255319148936,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"A11",0.00501672240802675,NA,NA,0.241071428571429,NA,NA,0,NA,NA
