"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.810684474123539,0.560696299403555,1,0.88,0.71448734183179,1,0.950396825396825,0.932539682539683,0.968203561367449
"Eligibility",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Recruitment",NA,NA,NA,NA,NA,NA,1,NA,NA
"Setting",0.096774193548387,NA,NA,0.5,NA,NA,0.964285714285714,NA,NA
"Organization",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Flex. delivery",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Flex. adherence",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Follow-up",NA,NA,NA,NA,NA,NA,1,NA,NA
"Outcome",1,NA,NA,1,NA,NA,0.785714285714286,NA,NA
"Analysis",0.547474747474747,NA,NA,0.714285714285714,NA,NA,0.875,NA,NA
