"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.392423487953422,0.271618182266322,0.507931149341284,0.665584415584416,0.597402597402597,0.733683749770112,0,0,0
"A1",0.125,NA,NA,0.428571428571429,NA,NA,0,NA,NA
"A2",0.571428571428571,NA,NA,0.785714285714286,NA,NA,0,NA,NA
"A3",0.0319148936170212,NA,NA,0.535714285714286,NA,NA,0,NA,NA
"A4",0.517241379310345,NA,NA,0.857142857142857,NA,NA,0,NA,NA
"A5",-0.0499999999999998,NA,NA,0.892857142857143,NA,NA,0,NA,NA
"A6",0.086053412462908,NA,NA,0.607142857142857,NA,NA,0,NA,NA
"A7",0.655172413793103,NA,NA,0.821428571428571,NA,NA,0,NA,NA
"A8",0.659367396593674,NA,NA,0.821428571428571,NA,NA,0,NA,NA
"A9",0.528421052631579,NA,NA,0.714285714285714,NA,NA,0,NA,NA
"A10",0.294117647058823,NA,NA,0.464285714285714,NA,NA,0,NA,NA
"A11",0.040322580645161,NA,NA,0.392857142857143,NA,NA,0,NA,NA
