"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.705697770437655,0.762589928057554,0.713991769547325
"Eligibility",0.672727272727273,0.75,0.703703703703704
"Recruitment",0.433070866141732,0.692307692307692,0.759259259259259
"Setting",0.709156193895871,0.727272727272727,0.796296296296296
"Organization",0.597444089456869,0.733333333333333,0.722222222222222
"Flex. delivery",0.888121546961326,0.666666666666667,0.833333333333333
"Flex. adherence",0.848456501403181,0.823529411764706,0.685185185185185
"Follow-up",-0.263157894736842,0.705882352941177,0.685185185185185
"Outcome",0.848421052631579,0.96,0.537037037037037
"Analysis",0.550208236927348,0.625,0.703703703703704
