"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.96782449725777,0.938038887234993,0.99449046964719,0.980392156862745,0.962585034013605,0.996655233271186,0.751623376623377,0.725669971648381,0.776765093286684
"A1",1,NA,NA,1,NA,NA,0.928571428571429,NA,NA
"A2",0.867219917012448,NA,NA,0.931034482758621,NA,NA,0.741071428571429,NA,NA
"A3",0.885245901639344,NA,NA,0.9375,NA,NA,0.714285714285714,NA,NA
"A4",1,NA,NA,1,NA,NA,0.758928571428571,NA,NA
"A5",1,NA,NA,1,NA,NA,0.8125,NA,NA
"A6",1,NA,NA,1,NA,NA,0.339285714285714,NA,NA
"A7",1,NA,NA,1,NA,NA,0.589285714285714,NA,NA
"A8",1,NA,NA,1,NA,NA,0.991071428571429,NA,NA
"A9",0.961379310344828,NA,NA,0.98,NA,NA,0.553571428571429,NA,NA
"A10",1,NA,NA,1,NA,NA,0.973214285714286,NA,NA
"A11",-0.866666666666667,NA,NA,0.933333333333333,NA,NA,0.866071428571429,NA,NA
