"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.500722666594849,0.456359064430888,0.543244576053438,0.70188679245283,0.677299073714705,0.727090496828778,0.13961038961039,0.12012987012987,0.160714285714286
"A1",0.0566037735849054,NA,NA,0.264705882352941,NA,NA,0.0892857142857143,NA,NA
"A2",0.648124191461837,NA,NA,0.821052631578947,NA,NA,0.151785714285714,NA,NA
"A3",0.0693458226318174,NA,NA,0.495412844036697,NA,NA,0.0267857142857143,NA,NA
"A4",0.285285285285285,NA,NA,0.833333333333333,NA,NA,0.0892857142857143,NA,NA
"A5",0.307967479674797,NA,NA,0.791208791208791,NA,NA,0.1875,NA,NA
"A6",0.56840077071291,NA,NA,0.927272727272727,NA,NA,0.0178571428571429,NA,NA
"A7",0.594470046082949,NA,NA,0.786407766990291,NA,NA,0.0803571428571429,NA,NA
"A8",0.106170728231438,NA,NA,0.253333333333333,NA,NA,0.330357142857143,NA,NA
"A9",0.800924280127977,NA,NA,0.896907216494845,NA,NA,0.133928571428571,NA,NA
"A10",0.401069518716577,NA,NA,0.590361445783133,NA,NA,0.258928571428571,NA,NA
"A11",0.623318385650224,NA,NA,0.967741935483871,NA,NA,0.169642857142857,NA,NA
