"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.0753211769581434,-0.00594391709513512,0.162501460644456,0.584444444444444,0.522278677935123,0.648888888888889,0,0,0
"Eligibility",-0.0283687943262412,NA,NA,0.66,NA,NA,0,NA,NA
"Recruitment",-0.0236724248240563,NA,NA,0.42,NA,NA,0,NA,NA
"Setting",-0.0563380281690142,NA,NA,0.7,NA,NA,0,NA,NA
"Organization",-0.115537848605578,NA,NA,0.56,NA,NA,0,NA,NA
"Flex. delivery",0.0584415584415585,NA,NA,0.6,NA,NA,0,NA,NA
"Flex. adherence",0.118589743589744,NA,NA,0.46,NA,NA,0,NA,NA
"Follow-up",0.231950844854071,NA,NA,0.72,NA,NA,0,NA,NA
"Outcome",0.119718309859155,NA,NA,0.7,NA,NA,0,NA,NA
"Analysis",0.0372670807453418,NA,NA,0.44,NA,NA,0,NA,NA
