"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.428440197864215,0.651339608979001,0.0615018688413184
"P1",0.077140169332079,0.916666666666667,0.00917431192660551
"P2",-0.0241013071895424,0.14018691588785,0.018348623853211
"P3",0,0.981651376146789,0
"P4",-0.0906415538552088,0.841121495327103,0.018348623853211
"P5",0.0797373358348968,0.823529411764706,0.0642201834862385
"P6",0.193190229459659,0.80952380952381,0.036697247706422
"P7",0.00491573033707859,0.375,0.0458715596330275
"P8",0.0993596364387523,0.591836734693878,0.100917431192661
"P9",0.138783923050498,0.77,0.0825688073394495
"P10",0.274438950171168,0.653465346534653,0.073394495412844
"P11",0.0605135571915963,0.483870967741935,0.146788990825688
"P12",0.169309989701339,0.602150537634409,0.146788990825688
"P13",0.306258524018791,0.528089887640449,0.18348623853211
"P14",-0.0289600000000001,0.453703703703704,0.00917431192660551
"P15",-0.0263325885732526,0.448598130841121,0.018348623853211
"P16",-0.043355855855856,0.842592592592593,0.00917431192660551
"P17",0.196083418107833,0.694736842105263,0.128440366972477
"P18",0.377676277476449,0.791666666666667,0.119266055045872
"P19",0.223445595854922,0.645161290322581,0.146788990825688
"P20",0.152356768766862,0.505050505050505,0.0917431192660551
"P21",-0.0203077899412978,0.458715596330275,0
"P22",-0.0266027759418372,0.467289719626168,0.018348623853211
"P23",-0.0437756497948016,0.805555555555556,0.00917431192660551
"P24",-0.0272993175170619,0.728971962616822,0.018348623853211
"P25",0.111300720515738,0.565656565656566,0.0917431192660551
"P26",-0.0148975791433892,0.954128440366973,0
"P27",0.122786847551161,0.653465346534653,0.073394495412844
