"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.383071239343947,0.336965255288592,0.431141443742759,0.628246753246753,0.598214285714286,0.656635223156814,0,0,0
"A1",0.0344827586206896,NA,NA,0.3125,NA,NA,0,NA,NA
"A2",0.453302961275626,NA,NA,0.732142857142857,NA,NA,0,NA,NA
"A3",0.105590062111801,NA,NA,0.517857142857143,NA,NA,0,NA,NA
"A4",0.374117647058824,NA,NA,0.830357142857143,NA,NA,0,NA,NA
"A5",0.127980535279805,NA,NA,0.714285714285714,NA,NA,0,NA,NA
"A6",0.467680608365019,NA,NA,0.910714285714286,NA,NA,0,NA,NA
"A7",0.32893948472139,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"A8",0.0377088305489259,NA,NA,0.196428571428571,NA,NA,0,NA,NA
"A9",0.482758620689655,NA,NA,0.732142857142857,NA,NA,0,NA,NA
"A10",0.1614539306847,NA,NA,0.446428571428571,NA,NA,0,NA,NA
"A11",0.263157894736842,NA,NA,0.875,NA,NA,0,NA,NA
