"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.356157383750639,-0.086394535570886,0.770322402311835,0.736842105263158,0.550141139282253,0.909090909090909,0.962301587301587,0.942460317460317,0.978174603174603
"Eligibility",-0.75,NA,NA,0.5,NA,NA,0.964285714285714,NA,NA
"Recruitment",NA,NA,NA,NA,NA,NA,1,NA,NA
"Setting",NA,NA,NA,NA,NA,NA,1,NA,NA
"Organization",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Flex. delivery",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Flex. adherence",NA,NA,NA,NA,NA,NA,1,NA,NA
"Follow-up",NA,NA,NA,NA,NA,NA,1,NA,NA
"Outcome",0.654320987654321,NA,NA,0.888888888888889,NA,NA,0.839285714285714,NA,NA
"Analysis",0.243243243243243,NA,NA,0.5,NA,NA,0.892857142857143,NA,NA
