"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.00605834351172907,-0.0728139180014387,0.0837920201526266,0.44047619047619,0.39484126984127,0.490079365079365,0,0,0
"Eligibility",-0.0375939849624061,NA,NA,0.303571428571429,NA,NA,0,NA,NA
"Recruitment",-0.00210526315789483,NA,NA,0.357142857142857,NA,NA,0,NA,NA
"Setting",0.0915411355735805,NA,NA,0.589285714285714,NA,NA,0,NA,NA
"Organization",-0.066225165562914,NA,NA,0.446428571428571,NA,NA,0,NA,NA
"Flex. delivery",0.0621629293216009,NA,NA,0.428571428571429,NA,NA,0,NA,NA
"Flex. adherence",0.0848056537102473,NA,NA,0.446428571428571,NA,NA,0,NA,NA
"Follow-up",-0.0165204976544973,NA,NA,0.321428571428571,NA,NA,0,NA,NA
"Outcome",-0.0271132376395535,NA,NA,0.607142857142857,NA,NA,0,NA,NA
"Analysis",0.180851063829787,NA,NA,0.464285714285714,NA,NA,0,NA,NA
