"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.308209375138629,0.262109091728649,0.35433424905912,0.549203373945642,0.514399807698789,0.585423509523956,0.133928571428571,0.101461038961039,0.167207792207792
"A1",0.00316455696202544,NA,NA,0.181818181818182,NA,NA,0.0178571428571429,NA,NA
"A2",0.400220507166483,NA,NA,0.66,NA,NA,0.107142857142857,NA,NA
"A3",0.0863475450207789,NA,NA,0.504672897196262,NA,NA,0.0446428571428571,NA,NA
"A4",0.0344827586206895,NA,NA,0.452631578947368,NA,NA,0.151785714285714,NA,NA
"A5",0.0235236058562261,NA,NA,0.417582417582418,NA,NA,0.1875,NA,NA
"A6",0.388932190179267,NA,NA,0.862745098039216,NA,NA,0.0892857142857143,NA,NA
"A7",0.575903614457831,NA,NA,0.770833333333333,NA,NA,0.142857142857143,NA,NA
"A8",0.295724038807043,NA,NA,0.583333333333333,NA,NA,0.25,NA,NA
"A9",0.498104102033781,NA,NA,0.723404255319149,NA,NA,0.160714285714286,NA,NA
"A10",0.485057471264368,NA,NA,0.693877551020408,NA,NA,0.125,NA,NA
"A11",0.00444444444444447,NA,NA,0.2,NA,NA,0.196428571428571,NA,NA
