"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.0494916015954159,-0.0197299578894749,0.124154127262303,0.448412698412698,0.400793650793651,0.497965466129354,0,0,0
"Eligibility",-0.0736842105263158,NA,NA,0.410714285714286,NA,NA,0,NA,NA
"Recruitment",0.266666666666667,NA,NA,0.464285714285714,NA,NA,0,NA,NA
"Setting",0.106382978723404,NA,NA,0.571428571428571,NA,NA,0,NA,NA
"Organization",-0.0439970171513797,NA,NA,0.357142857142857,NA,NA,0,NA,NA
"Flex. delivery",0.133769063180828,NA,NA,0.267857142857143,NA,NA,0,NA,NA
"Flex. adherence",-0.0544871794871795,NA,NA,0.428571428571429,NA,NA,0,NA,NA
"Follow-up",0.0364145658263306,NA,NA,0.428571428571429,NA,NA,0,NA,NA
"Outcome",-0.112262521588947,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"Analysis",0.112676056338028,NA,NA,0.464285714285714,NA,NA,0,NA,NA
