"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.832822085889571,0.797053074756567,0.868751252782004,0.909403669724771,0.890176263492675,0.928721238435471,0.272727272727273,0.248540450375313,0.301084236864053
"A1",0.805270209915141,NA,NA,0.938461538461538,NA,NA,0.403669724770642,NA,NA
"A2",0.7959279194945,NA,NA,0.896103896103896,NA,NA,0.293577981651376,NA,NA
"A3",0.857934180514826,NA,NA,0.927272727272727,NA,NA,0.495412844036697,NA,NA
"A4",0.913147410358566,NA,NA,0.978723404255319,NA,NA,0.137614678899083,NA,NA
"A5",0.847552447552448,NA,NA,0.990291262135922,NA,NA,0.055045871559633,NA,NA
"A6",0.74520804114072,NA,NA,0.933333333333333,NA,NA,0.311926605504587,NA,NA
"A7",0.939690151235706,NA,NA,0.96875,NA,NA,0.119266055045872,NA,NA
"A8",0.935131918270184,NA,NA,0.966292134831461,NA,NA,0.18348623853211,NA,NA
"A9",0.86685667752443,NA,NA,0.929411764705882,NA,NA,0.220183486238532,NA,NA
"A10",0.311992786293959,NA,NA,0.493975903614458,NA,NA,0.238532110091743,NA,NA
"A11",0.569169960474308,NA,NA,0.98,NA,NA,0.541284403669725,NA,NA
