"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.896813500314298,0.859402632948237,0.92918473004322,0.94018691588785,0.9181679060509,0.959257338996916,0.498594189315839,0.461129714218187,0.534208059981256
"A1",1,NA,NA,1,NA,NA,0.845360824742268,NA,NA
"A2",0.936121172209417,NA,NA,0.967741935483871,NA,NA,0.360824742268041,NA,NA
"A3",0.961323763955343,NA,NA,0.979166666666667,NA,NA,0.505154639175258,NA,NA
"A4",1,NA,NA,1,NA,NA,0.536082474226804,NA,NA
"A5",1,NA,NA,1,NA,NA,0.587628865979381,NA,NA
"A6",1,NA,NA,1,NA,NA,0.175257731958763,NA,NA
"A7",0.972222222222222,NA,NA,0.985915492957746,NA,NA,0.268041237113402,NA,NA
"A8",0.893795620437956,NA,NA,0.945454545454545,NA,NA,0.43298969072165,NA,NA
"A9",0.935073627844712,NA,NA,0.966666666666667,NA,NA,0.381443298969072,NA,NA
"A10",0.840197693574959,NA,NA,0.884615384615385,NA,NA,0.731958762886598,NA,NA
"A11",0.076630176106616,NA,NA,0.393939393939394,NA,NA,0.65979381443299,NA,NA
