"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.616940421399316,0.489711115202678,0.74091446211662,0.8,0.741727281578895,0.855052957043244,0.702380952380952,0.658730158730159,0.742063492063492
"Eligibility",0.138461538461538,NA,NA,0.666666666666667,NA,NA,0.732142857142857,NA,NA
"Recruitment",0.68361581920904,NA,NA,0.777777777777778,NA,NA,0.678571428571429,NA,NA
"Setting",0.2,NA,NA,0.884615384615385,NA,NA,0.535714285714286,NA,NA
"Organization",0.238095238095238,NA,NA,0.538461538461538,NA,NA,0.767857142857143,NA,NA
"Flex. delivery",1,NA,NA,1,NA,NA,0.928571428571429,NA,NA
"Flex. adherence",0.654320987654321,NA,NA,0.8,NA,NA,0.642857142857143,NA,NA
"Follow-up",0.54983922829582,NA,NA,0.857142857142857,NA,NA,0.75,NA,NA
"Outcome",0.533333333333333,NA,NA,0.85,NA,NA,0.642857142857143,NA,NA
"Analysis",0.784615384615385,NA,NA,0.85,NA,NA,0.642857142857143,NA,NA
