"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.0553224755700324,-0.0256533330533309,0.136542637209975,0.532494758909853,0.484276729559748,0.580712788259958,0,0,0
"Eligibility",0.0888252148997134,NA,NA,0.60377358490566,NA,NA,0,NA,NA
"Recruitment",-0.168934772407321,NA,NA,0.39622641509434,NA,NA,0,NA,NA
"Setting",0.07370820668693,NA,NA,0.528301886792453,NA,NA,0,NA,NA
"Organization",0.0556155507559397,NA,NA,0.547169811320755,NA,NA,0,NA,NA
"Flex. delivery",0.179643527204503,NA,NA,0.547169811320755,NA,NA,0,NA,NA
"Flex. adherence",0.174025974025974,NA,NA,0.433962264150943,NA,NA,0,NA,NA
"Follow-up",-0.178622668579627,NA,NA,0.584905660377358,NA,NA,0,NA,NA
"Outcome",-0.0486397361912614,NA,NA,0.660377358490566,NA,NA,0,NA,NA
"Analysis",0.13019693654267,NA,NA,0.490566037735849,NA,NA,0,NA,NA
