"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.834604769634086,0.811744072569224,0.858460520535762,0.903780068728522,0.888507063764796,0.918661548273843,0,0,0
"P1",1,NA,NA,1,NA,NA,0,NA,NA
"P2",1,NA,NA,1,NA,NA,0,NA,NA
"P3",1,NA,NA,1,NA,NA,0,NA,NA
"P4",0.935548172757475,NA,NA,0.989690721649485,NA,NA,0,NA,NA
"P5",1,NA,NA,1,NA,NA,0,NA,NA
"P6",0.822992700729927,NA,NA,0.958762886597938,NA,NA,0,NA,NA
"P7",0.955320128972824,NA,NA,0.979381443298969,NA,NA,0,NA,NA
"P8",0.825225225225225,NA,NA,0.917525773195876,NA,NA,0,NA,NA
"P9",0.846031746031746,NA,NA,0.979381443298969,NA,NA,0,NA,NA
"P10",0.806387225548902,NA,NA,0.907216494845361,NA,NA,0,NA,NA
"P11",0.911253430924062,NA,NA,0.979381443298969,NA,NA,0,NA,NA
"P12",1,NA,NA,1,NA,NA,0,NA,NA
"P13",0.585084619676399,NA,NA,0.762886597938144,NA,NA,0,NA,NA
"P14",0.961998041136141,NA,NA,0.979381443298969,NA,NA,0,NA,NA
"P15",0.323590504451039,NA,NA,0.515463917525773,NA,NA,0,NA,NA
"P16",0.349865951742627,NA,NA,0.690721649484536,NA,NA,0,NA,NA
"P17",0.923881768244834,NA,NA,0.969072164948454,NA,NA,0,NA,NA
"P18",0.891861761426979,NA,NA,0.969072164948454,NA,NA,0,NA,NA
"P19",0.953298025999037,NA,NA,0.979381443298969,NA,NA,0,NA,NA
"P20",0.589965079948539,NA,NA,0.762886597938144,NA,NA,0,NA,NA
"P21",0.94555659494855,NA,NA,0.969072164948454,NA,NA,0,NA,NA
"P22",0.31628674265147,NA,NA,0.515463917525773,NA,NA,0,NA,NA
"P23",0.505789717461788,NA,NA,0.77319587628866,NA,NA,0,NA,NA
"P24",0.741505662891406,NA,NA,0.917525773195876,NA,NA,0,NA,NA
"P25",0.917129431866724,NA,NA,0.958762886597938,NA,NA,0,NA,NA
"P26",0.555725190839695,NA,NA,0.969072164948454,NA,NA,0,NA,NA
"P27",0.882424242424242,NA,NA,0.958762886597938,NA,NA,0,NA,NA
