"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.739731468975928,0.455415537644183,0.977058384845412,0.846153846153846,0.709677419354839,0.966666666666667,0.948412698412698,0.928571428571429,0.968253968253968
"Eligibility",1,NA,NA,1,NA,NA,0.964285714285714,NA,NA
"Recruitment",-1.19607843137255,NA,NA,0,NA,NA,0.982142857142857,NA,NA
"Setting",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Organization",0.611111111111111,NA,NA,0.5,NA,NA,0.964285714285714,NA,NA
"Flex. delivery",1,NA,NA,1,NA,NA,0.964285714285714,NA,NA
"Flex. adherence",1,NA,NA,1,NA,NA,0.964285714285714,NA,NA
"Follow-up",NA,NA,NA,NA,NA,NA,1,NA,NA
"Outcome",1,NA,NA,1,NA,NA,0.803571428571429,NA,NA
"Analysis",0.377777777777778,NA,NA,0.6,NA,NA,0.910714285714286,NA,NA
