"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.411536737159662,0.642857142857143,0
"A1",0.112212038642557,0.428571428571429,0
"A2",0.328436516264428,0.642857142857143,0
"A3",0.0536130536130536,0.482142857142857,0
"A4",0.15625,0.758928571428571,0
"A5",0.190848886213125,0.678571428571429,0
"A6",0.254752851711027,0.875,0
"A7",0.506607929515418,0.732142857142857,0
"A8",0.0460921843687373,0.241071428571429,0
"A9",0.640696608615949,0.8125,0
"A10",0.276208712302537,0.517857142857143,0
"A11",0.320088300220751,0.901785714285714,0
