"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.103019158398905,0.0311141221902598,0.166430173804624,0.355555555555556,0.30894534460179,0.4,0,0,0
"Eligibility",0.0654205607476634,NA,NA,0.42,NA,NA,0,NA,NA
"Recruitment",-0.0191846522781773,NA,NA,0.24,NA,NA,0,NA,NA
"Setting",-0.0439866369710467,NA,NA,0.32,NA,NA,0,NA,NA
"Organization",-0.0592304366623433,NA,NA,0.36,NA,NA,0,NA,NA
"Flex. delivery",0.0430622009569378,NA,NA,0.34,NA,NA,0,NA,NA
"Flex. adherence",0.207061639736685,NA,NA,0.38,NA,NA,0,NA,NA
"Follow-up",0.200596887657216,NA,NA,0.32,NA,NA,0,NA,NA
"Outcome",0.102887580599944,NA,NA,0.56,NA,NA,0,NA,NA
"Analysis",-0.00706713780918711,NA,NA,0.26,NA,NA,0,NA,NA
