"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.564200798191143,0.524152561342956,0.601512358038716,0.741408934707904,0.718358558360463,0.762796801926355,0.0551948051948052,0.0446428571428571,0.0673701298701299
"A1",0.0408584399504746,NA,NA,0.258928571428571,NA,NA,0,NA,NA
"A2",0.561142857142857,NA,NA,0.779816513761468,NA,NA,0.0267857142857143,NA,NA
"A3",0.23878568192116,NA,NA,0.594594594594595,NA,NA,0.00892857142857143,NA,NA
"A4",0.377777777777778,NA,NA,0.846153846153846,NA,NA,0.0714285714285714,NA,NA
"A5",0.168690958164642,NA,NA,0.8,NA,NA,0.0178571428571429,NA,NA
"A6",0.633986928104575,NA,NA,0.928571428571429,NA,NA,0,NA,NA
"A7",0.653572533250851,NA,NA,0.81981981981982,NA,NA,0.00892857142857143,NA,NA
"A8",0.34461489799146,NA,NA,0.564705882352941,NA,NA,0.241071428571429,NA,NA
"A9",0.803320561941252,NA,NA,0.898148148148148,NA,NA,0.0357142857142857,NA,NA
"A10",0.606699081577526,NA,NA,0.75,NA,NA,0.0714285714285714,NA,NA
"A11",0.240963855421687,NA,NA,0.908163265306122,NA,NA,0.125,NA,NA
