"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.108653799398119,0.0402959007347436,0.177159988940337,0.299603174603175,0.257936507936508,0.343253968253968,0,0,0
"Eligibility",-0.0319715808170515,NA,NA,0.357142857142857,NA,NA,0,NA,NA
"Recruitment",0.120375807398708,NA,NA,0.339285714285714,NA,NA,0,NA,NA
"Setting",0.174237288135593,NA,NA,0.285714285714286,NA,NA,0,NA,NA
"Organization",0.0584212026218294,NA,NA,0.267857142857143,NA,NA,0,NA,NA
"Flex. delivery",0.107494065785012,NA,NA,0.160714285714286,NA,NA,0,NA,NA
"Flex. adherence",0.0118032020567956,NA,NA,0.232142857142857,NA,NA,0,NA,NA
"Follow-up",0.108155407770389,NA,NA,0.267857142857143,NA,NA,0,NA,NA
"Outcome",0.0481927710843375,NA,NA,0.535714285714286,NA,NA,0,NA,NA
"Analysis",0.045671438309475,NA,NA,0.25,NA,NA,0,NA,NA
