"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.630810841268947,0.570462094796308,0.687441522199924,0.775431861804223,0.7390574084572,0.811212876343592,0.57711038961039,0.553571428571429,0.603063794585385
"A1",0.0944680851063829,NA,NA,0.24,NA,NA,0.553571428571429,NA,NA
"A2",0.696682464454976,NA,NA,0.846153846153846,NA,NA,0.535714285714286,NA,NA
"A3",0.160299892895395,NA,NA,0.543478260869565,NA,NA,0.178571428571429,NA,NA
"A4",0.478260869565217,NA,NA,0.882352941176471,NA,NA,0.544642857142857,NA,NA
"A5",0.613126079447323,NA,NA,0.939393939393939,NA,NA,0.705357142857143,NA,NA
"A6",0.632183908045977,NA,NA,0.954022988505747,NA,NA,0.223214285714286,NA,NA
"A7",0.932285368802902,NA,NA,0.964285714285714,NA,NA,0.5,NA,NA
"A8",0.094949494949495,NA,NA,0.2,NA,NA,0.910714285714286,NA,NA
"A9",0.866825208085612,NA,NA,0.931034482758621,NA,NA,0.482142857142857,NA,NA
"A10",0.682119205298013,NA,NA,0.8,NA,NA,0.866071428571429,NA,NA
"A11",1,NA,NA,1,NA,NA,0.848214285714286,NA,NA
