"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.0703038674033151,0.575129533678757,0.59538784067086
"Eligibility",-0.195488721804511,0.428571428571429,0.60377358490566
"Recruitment",0.511070110701107,0.888888888888889,0.660377358490566
"Setting",0.136651583710407,0.666666666666667,0.660377358490566
"Organization",0.0157845868152274,0.56,0.528301886792453
"Flex. delivery",0.0185185185185184,0.523809523809524,0.60377358490566
"Flex. adherence",-0.168503937007874,0.45,0.622641509433962
"Follow-up",0.0822510822510824,0.583333333333333,0.547169811320755
"Outcome",-0.299727520435967,0.625,0.547169811320755
"Analysis",0.227814569536424,0.5,0.584905660377358
