"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.563395622131836,0.476074740606219,0.640935596803725,0.593253968253968,0.543650793650794,0.642857142857143,0,0,0
"Eligibility",0.696793002915452,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"Recruitment",0.752212389380531,NA,NA,0.732142857142857,NA,NA,0,NA,NA
"Setting",0.252336448598131,NA,NA,0.464285714285714,NA,NA,0,NA,NA
"Organization",0.467650397275823,NA,NA,0.553571428571429,NA,NA,0,NA,NA
"Flex. delivery",0.432992036405006,NA,NA,0.517857142857143,NA,NA,0,NA,NA
"Flex. adherence",0.508837209302325,NA,NA,0.625,NA,NA,0,NA,NA
"Follow-up",0.513748191027496,NA,NA,0.553571428571429,NA,NA,0,NA,NA
"Outcome",0.380792645049074,NA,NA,0.678571428571429,NA,NA,0,NA,NA
"Analysis",0.640641711229947,NA,NA,0.571428571428571,NA,NA,0,NA,NA
