"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.0350861809800582,0.545267489711934,0
"Eligibility",0.12639029322548,0.62962962962963,0
"Recruitment",-0.143243243243243,0.351851851851852,0
"Setting",0.0254010695187165,0.5,0
"Organization",-0.0671936758893281,0.518518518518518,0
"Flex. delivery",0.275915420319752,0.574074074074074,0
"Flex. adherence",0.1165096678235,0.5,0
"Follow-up",-0.117241379310345,0.666666666666667,0
"Outcome",-0.149842271293376,0.666666666666667,0
"Analysis",0.157127991675338,0.5,0
