"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.650835249560395,0.610390377308725,0.692886273615758,0.796198521647307,0.772586778473522,0.8204224446495,0.195412064570943,0.169073916737468,0.221750212404418
"A1",0.192948605507806,NA,NA,0.475609756097561,NA,NA,0.233644859813084,NA,NA
"A2",0.532444832859952,NA,NA,0.777777777777778,NA,NA,0.158878504672897,NA,NA
"A3",0.598543367909954,NA,NA,0.792682926829268,NA,NA,0.233644859813084,NA,NA
"A4",0.499498830604744,NA,NA,0.849462365591398,NA,NA,0.130841121495327,NA,NA
"A5",0.168559473998805,NA,NA,0.845238095238095,NA,NA,0.214953271028037,NA,NA
"A6",0.595157018539538,NA,NA,0.887640449438202,NA,NA,0.168224299065421,NA,NA
"A7",0.724717989313279,NA,NA,0.857142857142857,NA,NA,0.149532710280374,NA,NA
"A8",0.397965808266609,NA,NA,0.611940298507463,NA,NA,0.373831775700935,NA,NA
"A9",0.744934445768772,NA,NA,0.868131868131868,NA,NA,0.149532710280374,NA,NA
"A10",0.519769181449028,NA,NA,0.708333333333333,NA,NA,0.327102803738318,NA,NA
"A11",-0.00943396226415083,NA,NA,0.962264150943396,NA,NA,0.00934579439252336,NA,NA
