"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.949526813880126,0.905438661963976,0.984410125314992,0.970149253731343,0.947091131392714,0.990196078431373,0.601190476190476,0.551587301587302,0.648809523809524
"Eligibility",0.923076923076923,NA,NA,0.964285714285714,NA,NA,0.5,NA,NA
"Recruitment",1,NA,NA,1,NA,NA,0.589285714285714,NA,NA
"Setting",0.456310679611651,NA,NA,0.916666666666667,NA,NA,0.571428571428571,NA,NA
"Organization",1,NA,NA,1,NA,NA,0.75,NA,NA
"Flex. delivery",0.892307692307692,NA,NA,0.941176470588235,NA,NA,0.696428571428571,NA,NA
"Flex. adherence",1,NA,NA,1,NA,NA,0.696428571428571,NA,NA
"Follow-up",1,NA,NA,1,NA,NA,0.642857142857143,NA,NA
"Outcome",0.886868686868687,NA,NA,0.941176470588235,NA,NA,0.392857142857143,NA,NA
"Analysis",1,NA,NA,1,NA,NA,0.571428571428571,NA,NA
