"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.387682651481802,0.339337240254496,0.431971480446253,0.630681818181818,0.602272727272727,0.655844155844156,0,0,0
"A1",0.0506384852487892,NA,NA,0.3125,NA,NA,0,NA,NA
"A2",0.45578231292517,NA,NA,0.732142857142857,NA,NA,0,NA,NA
"A3",0.0903721204961606,NA,NA,0.508928571428571,NA,NA,0,NA,NA
"A4",0.418013856812933,NA,NA,0.839285714285714,NA,NA,0,NA,NA
"A5",0.174119885823026,NA,NA,0.723214285714286,NA,NA,0,NA,NA
"A6",0.53972602739726,NA,NA,0.919642857142857,NA,NA,0,NA,NA
"A7",0.378710644677661,NA,NA,0.669642857142857,NA,NA,0,NA,NA
"A8",0.0413844996237773,NA,NA,0.1875,NA,NA,0,NA,NA
"A9",0.53448275862069,NA,NA,0.758928571428571,NA,NA,0,NA,NA
"A10",0.134569662387066,NA,NA,0.419642857142857,NA,NA,0,NA,NA
"A11",0.280821917808219,NA,NA,0.866071428571429,NA,NA,0,NA,NA
