"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.550571513497446,0.44630718860111,0.64544450646317,0.732142857142857,0.676587301587302,0.779761904761905,0,0,0
"Eligibility",0.588235294117647,NA,NA,0.803571428571429,NA,NA,0,NA,NA
"Recruitment",0.824817518248175,NA,NA,0.892857142857143,NA,NA,0,NA,NA
"Setting",0.0764617691154422,NA,NA,0.714285714285714,NA,NA,0,NA,NA
"Organization",0.514533401325854,NA,NA,0.696428571428571,NA,NA,0,NA,NA
"Flex. delivery",0.347994825355757,NA,NA,0.625,NA,NA,0,NA,NA
"Flex. adherence",0.493103448275862,NA,NA,0.625,NA,NA,0,NA,NA
"Follow-up",0.503325942350333,NA,NA,0.75,NA,NA,0,NA,NA
"Outcome",0.354466858789625,NA,NA,0.732142857142857,NA,NA,0,NA,NA
"Analysis",0.689627870150435,NA,NA,0.75,NA,NA,0,NA,NA
