"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.402219436318893,0.350039446094671,0.447041196443072,0.640584694754944,0.61074095481341,0.667234066437569,0.0560064935064935,0.0357142857142857,0.0787337662337662
"A1",0.0437158469945357,NA,NA,0.305555555555556,NA,NA,0.0357142857142857,NA,NA
"A2",0.480769230769231,NA,NA,0.745283018867924,NA,NA,0.0535714285714286,NA,NA
"A3",0.0987930263746087,NA,NA,0.513513513513513,NA,NA,0.00892857142857143,NA,NA
"A4",0.446913580246914,NA,NA,0.853211009174312,NA,NA,0.0267857142857143,NA,NA
"A5",0.167065073041169,NA,NA,0.733333333333333,NA,NA,0.0625,NA,NA
"A6",0.546558704453441,NA,NA,0.926605504587156,NA,NA,0.0267857142857143,NA,NA
"A7",0.368816530995617,NA,NA,0.663551401869159,NA,NA,0.0446428571428571,NA,NA
"A8",0.0395099540581928,NA,NA,0.176470588235294,NA,NA,0.0892857142857143,NA,NA
"A9",0.554376657824934,NA,NA,0.769230769230769,NA,NA,0.0714285714285714,NA,NA
"A10",0.149606299212599,NA,NA,0.431578947368421,NA,NA,0.151785714285714,NA,NA
"A11",0.291139240506329,NA,NA,0.88785046728972,NA,NA,0.0446428571428571,NA,NA
