"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.0118252558054039,-0.0680066987371404,0.0995444323997937,0.48015873015873,0.430605962442074,0.525793650793651,0,0,0
"Eligibility",-0.0484581497797356,NA,NA,0.5,NA,NA,0,NA,NA
"Recruitment",-0.0515021459227469,NA,NA,0.482142857142857,NA,NA,0,NA,NA
"Setting",0.0614525139664805,NA,NA,0.625,NA,NA,0,NA,NA
"Organization",0.0561797752808989,NA,NA,0.464285714285714,NA,NA,0,NA,NA
"Flex. delivery",0.076094276094276,NA,NA,0.392857142857143,NA,NA,0,NA,NA
"Flex. adherence",-0.128358208955224,NA,NA,0.303571428571429,NA,NA,0,NA,NA
"Follow-up",-0.030416823131806,NA,NA,0.392857142857143,NA,NA,0,NA,NA
"Outcome",0.0070921985815604,NA,NA,0.696428571428571,NA,NA,0,NA,NA
"Analysis",0.0955585464333782,NA,NA,0.464285714285714,NA,NA,0,NA,NA
