"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.0614818223653933,-0.0460738884743274,0.187065082559575,0.419191919191919,0.363636363636364,0.46969696969697,0,0,0
"Eligibility",0.235831809872029,NA,NA,0.545454545454545,NA,NA,0,NA,NA
"Recruitment",-0.10990990990991,NA,NA,0.363636363636364,NA,NA,0,NA,NA
"Setting",0.254237288135593,NA,NA,0.545454545454545,NA,NA,0,NA,NA
"Organization",0.0222222222222223,NA,NA,0.409090909090909,NA,NA,0,NA,NA
"Flex. delivery",0.0638297872340425,NA,NA,0.5,NA,NA,0,NA,NA
"Flex. adherence",-0.0236460717009916,NA,NA,0.227272727272727,NA,NA,0,NA,NA
"Follow-up",-0.142857142857143,NA,NA,0.227272727272727,NA,NA,0,NA,NA
"Outcome",0.16030534351145,NA,NA,0.636363636363636,NA,NA,0,NA,NA
"Analysis",0.0724324324324325,NA,NA,0.318181818181818,NA,NA,0,NA,NA
