"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.729302539706898,0.621877636602993,0.832626351531363,0.855670103092783,0.8,0.909090909090909,0.807539682539683,0.767857142857143,0.843203561367449
"Eligibility",-0.037037037037037,NA,NA,0.6,NA,NA,0.821428571428571,NA,NA
"Recruitment",0.725490196078431,NA,NA,0.833333333333333,NA,NA,0.892857142857143,NA,NA
"Setting",1,NA,NA,1,NA,NA,0.785714285714286,NA,NA
"Organization",0.2,NA,NA,0.714285714285714,NA,NA,0.875,NA,NA
"Flex. delivery",0.685393258426966,NA,NA,0.833333333333333,NA,NA,0.892857142857143,NA,NA
"Flex. adherence",0.75,NA,NA,0.875,NA,NA,0.714285714285714,NA,NA
"Follow-up",1,NA,NA,1,NA,NA,0.946428571428571,NA,NA
"Outcome",0.717171717171717,NA,NA,0.909090909090909,NA,NA,0.607142857142857,NA,NA
"Analysis",0.806563039723662,NA,NA,0.866666666666667,NA,NA,0.732142857142857,NA,NA
