"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.558301953170808,0.517544223223274,0.5971186340029,0.740617180984153,0.717264386989158,0.762301918265221,0,0,0
"A1",0.119687541374288,NA,NA,0.440366972477064,NA,NA,0,NA,NA
"A2",0.444756718777446,NA,NA,0.73394495412844,NA,NA,0,NA,NA
"A3",0.398962049951346,NA,NA,0.688073394495413,NA,NA,0,NA,NA
"A4",0.412542871141597,NA,NA,0.798165137614679,NA,NA,0,NA,NA
"A5",0.0346863468634686,NA,NA,0.779816513761468,NA,NA,0,NA,NA
"A6",0.488262910798122,NA,NA,0.844036697247706,NA,NA,0,NA,NA
"A7",0.697568141015179,NA,NA,0.844036697247706,NA,NA,0,NA,NA
"A8",0.324031007751938,NA,NA,0.559633027522936,NA,NA,0,NA,NA
"A9",0.636608985553262,NA,NA,0.807339449541284,NA,NA,0,NA,NA
"A10",0.499189189189189,NA,NA,0.688073394495413,NA,NA,0,NA,NA
"A11",0,NA,NA,0.963302752293578,NA,NA,0,NA,NA
