"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.286640847370631,0.571428571428571,0
"Eligibility",0.230496453900709,0.714285714285714,0
"Recruitment",0.284345047923323,0.571428571428571,0
"Setting",0.1841059602649,0.660714285714286,0
"Organization",0.107332624867163,0.517857142857143,0
"Flex. delivery",0.307384503455802,0.5,0
"Flex. adherence",0.109467455621302,0.339285714285714,0
"Follow-up",0.0698466780238499,0.517857142857143,0
"Outcome",0.267808836789901,0.696428571428571,0
"Analysis",0.548213599692662,0.625,0
