"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.0553224755700324,0.532494758909853,0
"Eligibility",0.0888252148997134,0.60377358490566,0
"Recruitment",-0.168934772407321,0.39622641509434,0
"Setting",0.07370820668693,0.528301886792453,0
"Organization",0.0556155507559397,0.547169811320755,0
"Flex. delivery",0.179643527204503,0.547169811320755,0
"Flex. adherence",0.174025974025974,0.433962264150943,0
"Follow-up",-0.178622668579627,0.584905660377358,0
"Outcome",-0.0486397361912614,0.660377358490566,0
"Analysis",0.13019693654267,0.490566037735849,0
