"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.0816326530612245,-0.0379335518292741,0.206072755161906,0.601190476190476,0.532035373877806,0.673954685152829,0.253333333333333,0.151111111111111,0.357777777777778
"Eligibility",-0.0466988727858293,NA,NA,0.674418604651163,NA,NA,0.14,NA,NA
"Recruitment",-0.14406779661017,NA,NA,0.368421052631579,NA,NA,0.24,NA,NA
"Setting",-0.0230179028132991,NA,NA,0.72972972972973,NA,NA,0.26,NA,NA
"Organization",0.00426742532005686,NA,NA,0.6,NA,NA,0.3,NA,NA
"Flex. delivery",0.0131578947368423,NA,NA,0.583333333333333,NA,NA,0.28,NA,NA
"Flex. adherence",0.172310007524454,NA,NA,0.472222222222222,NA,NA,0.28,NA,NA
"Follow-up",0.344758064516129,NA,NA,0.72972972972973,NA,NA,0.26,NA,NA
"Outcome",0.0925589836660617,NA,NA,0.736842105263158,NA,NA,0.24,NA,NA
"Analysis",0.0765171503957784,NA,NA,0.5,NA,NA,0.28,NA,NA
