"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.122087404703103,0.0568882914638427,0.186461254595574,0.446428571428571,0.402828184664297,0.490079365079365,0,0,0
"Eligibility",0,NA,NA,0.5,NA,NA,0,NA,NA
"Recruitment",0.146814404432133,NA,NA,0.517857142857143,NA,NA,0,NA,NA
"Setting",0.0519951632406287,NA,NA,0.553571428571429,NA,NA,0,NA,NA
"Organization",0.0373382624768946,NA,NA,0.196428571428571,NA,NA,0,NA,NA
"Flex. delivery",0.186159169550173,NA,NA,0.303571428571429,NA,NA,0,NA,NA
"Flex. adherence",0.186046511627907,NA,NA,0.625,NA,NA,0,NA,NA
"Follow-up",0.0781010719754976,NA,NA,0.267857142857143,NA,NA,0,NA,NA
"Outcome",0.236897274633124,NA,NA,0.589285714285714,NA,NA,0,NA,NA
"Analysis",0.117219078415521,NA,NA,0.464285714285714,NA,NA,0,NA,NA
