"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.271263024244745,0.523538961038961,0
"A1",0.0104854368932039,0.1875,0
"A2",0.315840621963071,0.607142857142857,0
"A3",0.0903721204961606,0.508928571428571,0
"A4",0.0288153681963712,0.419642857142857,0
"A5",0.0343526875926176,0.428571428571429,0
"A6",0.339016393442623,0.839285714285714,0
"A7",0.506397497867501,0.723214285714286,0
"A8",0.195691202872531,0.5,0
"A9",0.391652372784448,0.660714285714286,0
"A10",0.404255319148936,0.642857142857143,0
"A11",0.00501672240802675,0.241071428571429,0
