"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.621094927754714,0.775681341719078,0
"Eligibility",0.852913968547641,0.886792452830189,0
"Recruitment",0.674180327868853,0.773584905660377,0
"Setting",0.744701348747592,0.773584905660377,0
"Organization",0.624468587623996,0.716981132075472,0
"Flex. delivery",0.533528918692372,0.716981132075472,0
"Flex. adherence",0.322093023255814,0.641509433962264,0
"Follow-up",0.221542227662179,0.716981132075472,0
"Outcome",0.410018552875696,0.886792452830189,0
"Analysis",0.501344086021505,0.867924528301887,0
