"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.272688039394708,0.224113607486849,0.321666602001713,0.529220779220779,0.495941558441558,0.563311688311688,0,0,0
"A1",-0.00433582972014168,NA,NA,0.1875,NA,NA,0,NA,NA
"A2",0.373163565132223,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"A3",0.0889018012783266,NA,NA,0.5,NA,NA,0,NA,NA
"A4",0.0232558139534883,NA,NA,0.464285714285714,NA,NA,0,NA,NA
"A5",0.00424018602106413,NA,NA,0.419642857142857,NA,NA,0,NA,NA
"A6",0.291139240506329,NA,NA,0.8125,NA,NA,0,NA,NA
"A7",0.484909456740443,NA,NA,0.714285714285714,NA,NA,0,NA,NA
"A8",0.217309501411101,NA,NA,0.535714285714286,NA,NA,0,NA,NA
"A9",0.443655975021289,NA,NA,0.6875,NA,NA,0,NA,NA
"A10",0.423214049914169,NA,NA,0.651785714285714,NA,NA,0,NA,NA
"A11",0.00240192153722985,NA,NA,0.205357142857143,NA,NA,0,NA,NA
