"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.940824951045206,0.921905941166113,0.960609804599449,0.966871165644172,0.955622412557385,0.978353956248459,0.377625047728141,0.358151966399389,0.398997554383045
"P1",1,NA,NA,1,NA,NA,0.11340206185567,NA,NA
"P2",1,NA,NA,1,NA,NA,0.762886597938144,NA,NA
"P3",1,NA,NA,1,NA,NA,0.0206185567010309,NA,NA
"P4",0.894450489662677,NA,NA,0.985074626865672,NA,NA,0.309278350515464,NA,NA
"P5",1,NA,NA,1,NA,NA,0.268041237113402,NA,NA
"P6",0.755667506297229,NA,NA,0.954545454545455,NA,NA,0.0927835051546392,NA,NA
"P7",0.919301164725458,NA,NA,0.95,NA,NA,0.587628865979381,NA,NA
"P8",0.866068346565412,NA,NA,0.9375,NA,NA,0.34020618556701,NA,NA
"P9",0.886946386946387,NA,NA,0.988505747126437,NA,NA,0.103092783505155,NA,NA
"P10",0.895549174443647,NA,NA,0.950819672131147,NA,NA,0.371134020618557,NA,NA
"P11",0.938955317809943,NA,NA,0.987341772151899,NA,NA,0.185567010309278,NA,NA
"P12",1,NA,NA,1,NA,NA,0.608247422680412,NA,NA
"P13",0.755744412968209,NA,NA,0.873015873015873,NA,NA,0.350515463917526,NA,NA
"P14",0.932333449598884,NA,NA,0.963636363636364,NA,NA,0.43298969072165,NA,NA
"P15",0.442528735632184,NA,NA,0.6,NA,NA,0.948453608247423,NA,NA
"P16",0.813461538461538,NA,NA,0.964285714285714,NA,NA,0.422680412371134,NA,NA
"P17",0.928937728937729,NA,NA,0.974025974025974,NA,NA,0.206185567010309,NA,NA
"P18",1,NA,NA,1,NA,NA,0.154639175257732,NA,NA
"P19",1,NA,NA,1,NA,NA,0.556701030927835,NA,NA
"P20",0.541190382341348,NA,NA,0.755102040816326,NA,NA,0.494845360824742,NA,NA
"P21",1,NA,NA,1,NA,NA,0.463917525773196,NA,NA
"P22",0.404907975460123,NA,NA,0.6,NA,NA,0.948453608247423,NA,NA
"P23",0.826940231935772,NA,NA,0.966101694915254,NA,NA,0.391752577319588,NA,NA
"P24",0.738896366083446,NA,NA,0.946666666666667,NA,NA,0.22680412371134,NA,NA
"P25",1,NA,NA,1,NA,NA,0.412371134020619,NA,NA
"P26",0.636704119850187,NA,NA,0.98876404494382,NA,NA,0.0824742268041237,NA,NA
"P27",0.957003546099291,NA,NA,0.984375,NA,NA,0.34020618556701,NA,NA
