"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.161162245082115,-0.0205309068153274,0.324508782562069,0.30952380952381,0.23015873015873,0.404761904761905,0,0,0
"Eligibility",0.223249669749009,NA,NA,0.0714285714285714,NA,NA,0,NA,NA
"Recruitment",-0.0557377049180328,NA,NA,0.428571428571429,NA,NA,0,NA,NA
"Setting",0.172866520787746,NA,NA,0.5,NA,NA,0,NA,NA
"Organization",0.0381679389312977,NA,NA,0.285714285714286,NA,NA,0,NA,NA
"Flex. delivery",-0.0185449358059915,NA,NA,0.214285714285714,NA,NA,0,NA,NA
"Flex. adherence",0.0846153846153846,NA,NA,0.428571428571429,NA,NA,0,NA,NA
"Follow-up",0.0683453237410071,NA,NA,0.0714285714285714,NA,NA,0,NA,NA
"Outcome",-0.166666666666667,NA,NA,0.5,NA,NA,0,NA,NA
"Analysis",-0.090342679127726,NA,NA,0.285714285714286,NA,NA,0,NA,NA
