"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.0622835728855367,-0.019311640246002,0.146824097597506,0.525793650793651,0.476240883076995,0.579365079365079,0,0,0
"Eligibility",0.0857142857142857,NA,NA,0.535714285714286,NA,NA,0,NA,NA
"Recruitment",0.169002473206925,NA,NA,0.464285714285714,NA,NA,0,NA,NA
"Setting",-0.0168290522586358,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"Organization",-0.0277008310249309,NA,NA,0.482142857142857,NA,NA,0,NA,NA
"Flex. delivery",0.115789473684211,NA,NA,0.464285714285714,NA,NA,0,NA,NA
"Flex. adherence",0.0763888888888888,NA,NA,0.482142857142857,NA,NA,0,NA,NA
"Follow-up",-0.0407433881343817,NA,NA,0.446428571428571,NA,NA,0,NA,NA
"Outcome",0.00374531835205993,NA,NA,0.714285714285714,NA,NA,0,NA,NA
"Analysis",0.147717099373321,NA,NA,0.5,NA,NA,0,NA,NA
