"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.406974621142961,0.169270703875623,0.641680360105992,0.591836734693878,0.5,0.695652173913043,0.902777777777778,0.871031746031746,0.930555555555556
"Eligibility",0.243243243243243,NA,NA,0.5,NA,NA,0.892857142857143,NA,NA
"Recruitment",-1.19607843137255,NA,NA,0,NA,NA,0.982142857142857,NA,NA
"Setting",-0.247524752475248,NA,NA,0.5,NA,NA,0.964285714285714,NA,NA
"Organization",0.789473684210526,NA,NA,0.5,NA,NA,0.928571428571429,NA,NA
"Flex. delivery",0.243243243243243,NA,NA,0.5,NA,NA,0.928571428571429,NA,NA
"Flex. adherence",1,NA,NA,1,NA,NA,0.928571428571429,NA,NA
"Follow-up",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Outcome",0.561643835616438,NA,NA,0.857142857142857,NA,NA,0.75,NA,NA
"Analysis",0.16,NA,NA,0.307692307692308,NA,NA,0.767857142857143,NA,NA
