"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.959547610361182,0.930533172282888,0.98113165665463,0.976127320954907,0.959241936756673,0.988980716253444,0.693993506493506,0.667228413206823,0.719946911468502
"A1",0.829787234042553,NA,NA,0.857142857142857,NA,NA,0.875,NA,NA
"A2",0.952662721893491,NA,NA,0.976190476190476,NA,NA,0.625,NA,NA
"A3",0.900311526479751,NA,NA,0.945945945945946,NA,NA,0.669642857142857,NA,NA
"A4",0.904109589041096,NA,NA,0.978260869565217,NA,NA,0.589285714285714,NA,NA
"A5",1,NA,NA,1,NA,NA,0.723214285714286,NA,NA
"A6",0.89873417721519,NA,NA,0.987341772151899,NA,NA,0.294642857142857,NA,NA
"A7",0.963565387117762,NA,NA,0.980769230769231,NA,NA,0.535714285714286,NA,NA
"A8",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"A9",0.963565387117762,NA,NA,0.981132075471698,NA,NA,0.526785714285714,NA,NA
"A10",1,NA,NA,1,NA,NA,0.964285714285714,NA,NA
"A11",1,NA,NA,1,NA,NA,0.848214285714286,NA,NA
