"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.878930584324871,0.842951765639919,0.910248382543402,0.932539682539683,0.912582781456954,0.950062314950753,0.386363636363636,0.358766233766234,0.413940417962009
"A1",0.842253521126761,NA,NA,0.945454545454545,NA,NA,0.508928571428571,NA,NA
"A2",0.724569640062598,NA,NA,0.860759493670886,NA,NA,0.294642857142857,NA,NA
"A3",0.878568847126852,NA,NA,0.936170212765957,NA,NA,0.580357142857143,NA,NA
"A4",0.869969040247678,NA,NA,0.962962962962963,NA,NA,0.276785714285714,NA,NA
"A5",0.906197654941373,NA,NA,0.985714285714286,NA,NA,0.375,NA,NA
"A6",0.934040047114252,NA,NA,0.989583333333333,NA,NA,0.142857142857143,NA,NA
"A7",0.951240748802786,NA,NA,0.974358974358974,NA,NA,0.303571428571429,NA,NA
"A8",0.933412604042806,NA,NA,0.964285714285714,NA,NA,0.75,NA,NA
"A9",0.947809878844362,NA,NA,0.972972972972973,NA,NA,0.339285714285714,NA,NA
"A10",0.352601156069364,NA,NA,0.521739130434783,NA,NA,0.589285714285714,NA,NA
"A11",0.450980392156863,NA,NA,0.980392156862745,NA,NA,0.0892857142857143,NA,NA
