"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.798214724428794,0.763773416581569,0.829815027278835,0.88961038961039,0.870941558441558,0.906655844155844,0,0,0
"A1",0.873303167420814,NA,NA,0.964285714285714,NA,NA,0,NA,NA
"A2",0.733333333333333,NA,NA,0.866071428571429,NA,NA,0,NA,NA
"A3",0.669616519174041,NA,NA,0.839285714285714,NA,NA,0,NA,NA
"A4",0.865384615384615,NA,NA,0.955357142857143,NA,NA,0,NA,NA
"A5",0.758360302049622,NA,NA,0.964285714285714,NA,NA,0,NA,NA
"A6",0.742105263157895,NA,NA,0.9375,NA,NA,0,NA,NA
"A7",0.861042183622829,NA,NA,0.928571428571429,NA,NA,0,NA,NA
"A8",0.896200185356812,NA,NA,0.946428571428571,NA,NA,0,NA,NA
"A9",0.882034306349684,NA,NA,0.9375,NA,NA,0,NA,NA
"A10",0.315806697938257,NA,NA,0.5,NA,NA,0,NA,NA
"A11",-0.024390243902439,NA,NA,0.946428571428571,NA,NA,0,NA,NA
