"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.272688039394708,0.529220779220779,0
"A1",-0.00433582972014168,0.1875,0
"A2",0.373163565132223,0.642857142857143,0
"A3",0.0889018012783266,0.5,0
"A4",0.0232558139534883,0.464285714285714,0
"A5",0.00424018602106413,0.419642857142857,0
"A6",0.291139240506329,0.8125,0
"A7",0.484909456740443,0.714285714285714,0
"A8",0.217309501411101,0.535714285714286,0
"A9",0.443655975021289,0.6875,0
"A10",0.423214049914169,0.651785714285714,0
"A11",0.00240192153722985,0.205357142857143,0
