"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.0138415827233856,-0.0658666370274689,0.0856061295113952,0.428571428571429,0.380952380952381,0.478174603174603,0,0,0
"Eligibility",-0.0833333333333335,NA,NA,0.25,NA,NA,0,NA,NA
"Recruitment",0.0611439842209074,NA,NA,0.357142857142857,NA,NA,0,NA,NA
"Setting",0.0458284371327849,NA,NA,0.660714285714286,NA,NA,0,NA,NA
"Organization",-0.0317825886688161,NA,NA,0.5,NA,NA,0,NA,NA
"Flex. delivery",0.0341799937284415,NA,NA,0.392857142857143,NA,NA,0,NA,NA
"Flex. adherence",0.0490566037735849,NA,NA,0.410714285714286,NA,NA,0,NA,NA
"Follow-up",0.0187311178247733,NA,NA,0.303571428571429,NA,NA,0,NA,NA
"Outcome",-0.00311526479750768,NA,NA,0.553571428571429,NA,NA,0,NA,NA
"Analysis",0.130048823790502,NA,NA,0.428571428571429,NA,NA,0,NA,NA
