"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.252430725622401,0.44578313253012,0.505952380952381
"Eligibility",0.00928792569659442,0.428571428571429,0.375
"Recruitment",0.429598562013182,0.48,0.553571428571429
"Setting",0.157894736842105,0.333333333333333,0.625
"Organization",0.0402886349969932,0.3,0.642857142857143
"Flex. delivery",0.369091354396277,0.428571428571429,0.5
"Flex. adherence",0.343108504398827,0.625,0.571428571428571
"Follow-up",0.0145371078806427,0.346153846153846,0.535714285714286
"Outcome",-0.221117061973986,0.647058823529412,0.392857142857143
"Analysis",0.216858237547893,0.361111111111111,0.357142857142857
