"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.0350861809800582,-0.044529689169157,0.124690827726178,0.545267489711934,0.497994660639518,0.588425092446902,0,0,0
"Eligibility",0.12639029322548,NA,NA,0.62962962962963,NA,NA,0,NA,NA
"Recruitment",-0.143243243243243,NA,NA,0.351851851851852,NA,NA,0,NA,NA
"Setting",0.0254010695187165,NA,NA,0.5,NA,NA,0,NA,NA
"Organization",-0.0671936758893281,NA,NA,0.518518518518518,NA,NA,0,NA,NA
"Flex. delivery",0.275915420319752,NA,NA,0.574074074074074,NA,NA,0,NA,NA
"Flex. adherence",0.1165096678235,NA,NA,0.5,NA,NA,0,NA,NA
"Follow-up",-0.117241379310345,NA,NA,0.666666666666667,NA,NA,0,NA,NA
"Outcome",-0.149842271293376,NA,NA,0.666666666666667,NA,NA,0,NA,NA
"Analysis",0.157127991675338,NA,NA,0.5,NA,NA,0,NA,NA
