"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.945954087766957,0.922157416586029,0.965254291796332,0.970031545741325,0.956523451639421,0.980860467307556,0.4058106841612,0.374906658922967,0.434864104967198
"A1",1,NA,NA,1,NA,NA,0.577319587628866,NA,NA
"A2",0.92027397260274,NA,NA,0.96,NA,NA,0.22680412371134,NA,NA
"A3",0.959616985845129,NA,NA,0.978260869565217,NA,NA,0.525773195876289,NA,NA
"A4",1,NA,NA,1,NA,NA,0.288659793814433,NA,NA
"A5",1,NA,NA,1,NA,NA,0.309278350515464,NA,NA
"A6",1,NA,NA,1,NA,NA,0.144329896907216,NA,NA
"A7",1,NA,NA,1,NA,NA,0.319587628865979,NA,NA
"A8",0.906098741529526,NA,NA,0.954545454545455,NA,NA,0.77319587628866,NA,NA
"A9",1,NA,NA,1,NA,NA,0.298969072164948,NA,NA
"A10",0.499262536873156,NA,NA,0.631578947368421,NA,NA,0.608247422680412,NA,NA
"A11",1,NA,NA,1,NA,NA,0.391752577319588,NA,NA
