"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.273422938274884,0.385542168674699,0
"Eligibility",0.36,0.5,0
"Recruitment",0.189358372456964,0.378378378378378,0
"Setting",0.220123284947306,0.433962264150943,0
"Organization",0.0807660283097418,0.25,0
"Flex. delivery",0.348484848484849,0.302325581395349,0
"Flex. adherence",0.0681970135948294,0.0810810810810811,0
"Follow-up",0.128659476117103,0.384615384615385,0
"Outcome",0.247272087293206,0.638297872340426,0
"Analysis",0.538738019169329,0.404761904761905,0
