"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.911219831414282,0.882673257441991,0.937195282738425,0.950201884253028,0.934430121812595,0.964817320703654,0.396915584415584,0.370941558441558,0.422077922077922
"A1",0.896103896103896,NA,NA,0.958333333333333,NA,NA,0.571428571428571,NA,NA
"A2",0.853747714808044,NA,NA,0.925373134328358,NA,NA,0.401785714285714,NA,NA
"A3",0.865707434052758,NA,NA,0.928571428571429,NA,NA,0.625,NA,NA
"A4",0.947761194029851,NA,NA,0.988095238095238,NA,NA,0.25,NA,NA
"A5",0.915978994748687,NA,NA,0.986666666666667,NA,NA,0.330357142857143,NA,NA
"A6",0.924528301886792,NA,NA,0.989247311827957,NA,NA,0.169642857142857,NA,NA
"A7",0.951807228915663,NA,NA,0.974683544303797,NA,NA,0.294642857142857,NA,NA
"A8",1,NA,NA,1,NA,NA,0.767857142857143,NA,NA
"A9",0.935632183908046,NA,NA,0.966666666666667,NA,NA,0.196428571428571,NA,NA
"A10",0.424947145877378,NA,NA,0.575,NA,NA,0.642857142857143,NA,NA
"A11",0.552,NA,NA,0.97979797979798,NA,NA,0.116071428571429,NA,NA
