"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.0814561452229351,0.316872427983539,0
"Eligibility",0.0934306569343066,0.351851851851852,0
"Recruitment",-0.119476268412439,0.222222222222222,0
"Setting",0.054140127388535,0.203703703703704,0
"Organization",-0.0739468450551437,0.314814814814815,0
"Flex. delivery",0.186846957590658,0.222222222222222,0
"Flex. adherence",0.213335201008545,0.407407407407407,0
"Follow-up",-0.118012422360248,0.351851851851852,0
"Outcome",-0.0403669724770641,0.518518518518518,0
"Analysis",0.0412746585735965,0.259259259259259,0
