"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.434281120853543,0.391862395141581,0.479371241659773,0.658279220779221,0.631514127492537,0.684253246753247,0,0,0
"A1",0.0526315789473685,NA,NA,0.4375,NA,NA,0,NA,NA
"A2",0.48936170212766,NA,NA,0.732142857142857,NA,NA,0,NA,NA
"A3",0.0545023696682466,NA,NA,0.491071428571429,NA,NA,0,NA,NA
"A4",0.106995884773663,NA,NA,0.723214285714286,NA,NA,0,NA,NA
"A5",0.255589123867069,NA,NA,0.705357142857143,NA,NA,0,NA,NA
"A6",0.450980392156863,NA,NA,0.892857142857143,NA,NA,0,NA,NA
"A7",0.478678678678679,NA,NA,0.723214285714286,NA,NA,0,NA,NA
"A8",0.0857142857142856,NA,NA,0.25,NA,NA,0,NA,NA
"A9",0.674915979223954,NA,NA,0.830357142857143,NA,NA,0,NA,NA
"A10",0.2893571172034,NA,NA,0.526785714285714,NA,NA,0,NA,NA
"A11",0.302180685358255,NA,NA,0.928571428571429,NA,NA,0,NA,NA
