"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.122105448051758,0.0324066774380678,0.210898282884868,0.535714285714286,0.480209137045249,0.58531746031746,0,0,0
"Eligibility",0.0126582278481013,NA,NA,0.517857142857143,NA,NA,0,NA,NA
"Recruitment",0.231638418079096,NA,NA,0.5,NA,NA,0,NA,NA
"Setting",0.0402384500745154,NA,NA,0.607142857142857,NA,NA,0,NA,NA
"Organization",-0.0142517814726841,NA,NA,0.446428571428571,NA,NA,0,NA,NA
"Flex. delivery",0.229686500319898,NA,NA,0.5,NA,NA,0,NA,NA
"Flex. adherence",0.148648648648649,NA,NA,0.517857142857143,NA,NA,0,NA,NA
"Follow-up",0.145820622330689,NA,NA,0.482142857142857,NA,NA,0,NA,NA
"Outcome",0.0309653916211292,NA,NA,0.714285714285714,NA,NA,0,NA,NA
"Analysis",0.293913043478261,NA,NA,0.535714285714286,NA,NA,0,NA,NA
